track_id,track_name,artist,album,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,decade
6Su8quZrNWHDLIm0QE19T1,Harlem Air-Shaft,Duke Ellington,The Essential Duke Ellington,0.819,0.684,0.495,1,-9.437,1,0.043,0.272,0.499,0.752,98.491,176160,4,1940
7k76ag1cJ9AdQAl2aIYAlB,Opus One - 1991 Remastered,Tommy Dorsey,Greatest Hits,0.904,0.364,0.502,0,-10.827,0,0.0333,0.328,0.377,0.574,168.865,178160,4,1940
4zzZMkL4rvKuMCeSrGEdjV,Asa Branca,Various Artists,Brésil Nordeste's Song 1928-1950,0.99,0.877,0.188,7,-12.592,1,0.0437,0.0269,0.0847,0.93,119.828,174067,4,1940
6jETyB6AqMqfRsITWmBoHN,Take Me Back To Tulsa,Various Artists,The Best Of Bob Dylan's Theme Time Radio Hour Vol 2,0.971,0.739,0.325,2,-10.697,1,0.0447,0.00382,0.156,0.884,128.651,162640,4,1940
6QZp4bkCotnIA1ZHayOvXt,Deep In the Heart of Texas,Gene Autry,The Essential Gene Autry,0.968,0.86,0.307,3,-13.644,1,0.0552,0.00267,0.22,0.964,114.806,163560,4,1940
7kixCGSpKVDPF7nOqfWQcx,The Third Man Theme (The Harry Lime Theme) - Original Version,Anton Karas,"Anton Karas plays ""The Third Man Theme""",0.866,0.487,0.499,6,-7.402,1,0.0381,0.876,0.0746,0.83,89.824,133520,4,1940
5nOBmgfugDgQke3Q7k1XhK,Cool Water,Sons of the Pioneers,Cool Water And Seventeen Timeless Western Favorites,0.837,0.428,0.325,0,-11.851,1,0.0354,0,0.154,0.434,128.058,131840,4,1940
5kVlcdCzYsFrMnGmKjv9eG,Someone to Watch Over Me - 78rpm Version,Frank Sinatra,The Essential Frank Sinatra,0.95,0.233,0.199,9,-16.766,1,0.0384,1.73E-05,0.317,0.114,110.554,198800,4,1940
1Z8dcYx73gWgcxOZFaPK47,The Gypsy,Thomas Newman,Revolutionary Road,0.937,0.512,0.038,7,-23.096,1,0.0426,3.14E-06,0.0914,0.228,78.213,165840,4,1940
2TM6ELdWHDxJcpW01uBytg,Concerto for Cootie - 1999 Remastered,Duke Ellington,Jazz Indispensable,0.938,0.578,0.185,6,-11.734,1,0.0414,0.047,0.171,0.387,100.989,197107,4,1940
3zEEKykHDNEsFeB90ymPiM,Don't Fence Me In,Various Artists,The Hits Of The 30's & 40's,0.976,0.614,0.129,3,-16.75,1,0.0411,0,0.253,0.506,95.856,186600,4,1940
3bETrIcEzArXGqKfKXYX4v,Lover Man - Single Version,Billie Holiday,The Complete Commodore/Decca Masters,0.933,0.446,0.128,0,-12.919,1,0.0406,0,0.14,0.241,100.109,195827,3,1940
1dtIaSlyrLI04sqYa8nLyN,Rudolph the Red-Nosed Reindeer,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,0.883,0.629,0.159,8,-14.056,1,0.0495,0,0.222,0.642,142.157,186733,4,1950
60m1lHoUrjWXIpzlp6KvRW,"I Can Dream, Can't I?",The Andrews Sisters,My Greatest Songs,0.916,0.359,0.173,9,-9.795,0,0.0288,0,0.252,0.275,88.085,158000,4,1950
7z03paoXvhCzN22twdfPHR,Rag Mop,The Ames Brothers,The Best Of The Ames,0.57,0.565,0.478,7,-14.53,1,0.0567,0.000451,0.33,0.956,203.468,166520,4,1950
7Jf323ttHKUnPylFWiaGl3,Chattanoogie Shoe Shine Boy - 1949 Single Version,Red Foley,Country Music Hall Of Fame: Red Foley,0.613,0.725,0.373,10,-15.925,1,0.0494,0.0202,0.118,0.846,148.367,169000,4,1950
4LVy2nxwMiuL4XfqxdyypN,"Music, Music, Music",Teresa Brewer,"Music, Music, Music",0.351,0.753,0.582,2,-8.11,1,0.0373,3.89E-06,0.127,0.886,97.874,172173,4,1950
5iYPqG2HXDsecY0N7aEPQc,If I Knew You Were Comin' I'd've Baked a Cake,Eileen Barton,If I Knew You Were Comin'...,0.849,0.732,0.293,8,-8.943,1,0.352,1.98E-06,0.0575,0.927,170.145,159840,4,1950
7kixCGSpKVDPF7nOqfWQcx,The Third Man Theme (The Harry Lime Theme) - Original Version,Anton Karas,"Anton Karas plays ""The Third Man Theme""",0.866,0.487,0.499,6,-7.402,1,0.0381,0.876,0.0746,0.83,89.824,133520,4,1950
5dae01pKNjRQtgOeAkFzPY,Mona Lisa,Nat King Cole,Unforgettable,0.952,0.241,0.237,1,-12.201,1,0.0371,0,0.113,0.303,174.578,194987,3,1950
2AtqtnwjlSG3T4KjcWRrJu,Goodnight Irene,The Weavers,Goodnight Irene,0.744,0.351,0.374,5,-6.042,1,0.0269,0,0.164,0.551,139.687,201600,3,1950
4lAUS12MEaKyZy4cqwbW5i,Harbor Lights,Sammy Kaye,Harbor Lights,0.987,0.278,0.0952,2,-16.859,1,0.0314,0.000998,0.105,0.126,84.909,202572,4,1950
3wP72eQRzqJIGlylXAtwog,The Thing,Phil Harris & His Orchestra,The Very Best of Phill Harris (Nostalgic Memories Volume 65),0.868,0.851,0.402,2,-14.04,1,0.372,4.63E-05,0.238,0.959,130.161,135227,4,1950
5QtGJSbdkRnzqpU5CHzHHV,Tennessee Waltz,Patti Page,The Great Patti Page,0.727,0.439,0.334,3,-7.816,1,0.0257,0.00193,0.119,0.301,86.617,180640,3,1950
0VLsWxGXctGx9QtaHCpVEk,If,Perry Como,Perry Como's Greatest Hits,0.903,0.288,0.169,0,-12.024,1,0.0294,4.22E-05,0.317,0.229,71.412,184040,4,1950
2rfBRKEIIqfDOTWZPcEVP6,Be My Love,Mario Lanza,The Definitive Collection,0.966,0.249,0.361,1,-10.698,1,0.0386,0,0.24,0.194,117.831,208533,4,1950
5MFfSVsqBhBjycTlTxRKRE,How High the Moon - Remastered,Les Paul & Mary Ford,How High the Moon (Remastered),0.19,0.675,0.582,11,-13.405,0,0.0421,0.481,0.155,0.777,118.509,125289,4,1950
0zII0Soax7wbm3Avw7iVAd,Too Young,Nat King Cole,The Nat King Cole Story,0.805,0.201,0.213,8,-14.531,1,0.0298,8.22E-05,0.126,0.203,96.324,204627,4,1950
3GVyT9fBXuEkGs1STo2WHZ,Come On-A My House,Rosemary Clooney,The Essential Rosemary Clooney,0.826,0.527,0.633,10,-8.56,0,0.114,0,0.422,0.961,183.174,116933,4,1950
6Wnjq6JZ4ddkJapjiMti56,Delicado,Percy Faith,The Minute Samba,0.249,0.24,0.782,7,-9.663,1,0.0528,0.719,0.109,0.708,187.449,226326,4,1950
6Io0N5BVZcK5nRaWAZjtnX,"Cold, Cold Heart",Tony Bennett,60 Years: The Artistry of Tony Bennett,0.971,0.286,0.149,7,-13.062,1,0.0315,9.87E-06,0.132,0.211,91.598,157600,4,1950
2rNVcqHd5WSItshYahgM3k,(It's No) Sin,Eddy Howard,My Best to You,0.932,0.31,0.207,8,-8.41,1,0.0359,0,0.0794,0.203,83.973,169773,3,1950
74uuI8nGoIPIydD7oXF0O8,Cry,Johnnie Ray,Vintage Vocal Jazz / Swing No. 101 - EP: Walking And Crying,0.914,0.745,0.194,2,-9.692,1,0.0779,0,0.107,0.673,133.776,137530,5,1950
2gCQe48O4GMJz6oFBqnN9e,Wheel Of Fortune,Kay Starr,Capitol Collectors Series,0.897,0.461,0.248,8,-10.278,1,0.0481,0,0.399,0.404,140.558,185600,4,1950
6ecG5Am0TRxn0uwZBQHA3L,Blue Tango,Leroy Anderson,The Leroy Anderson Collection,0.739,0.328,0.144,2,-21.882,1,0.0331,0.919,0.129,0.649,124.489,169427,4,1950
0mRAY4VhmgEsBvLEFxB6Vm,Here In My Heart,Al Martino,Capitol Collectors Series,0.8,0.177,0.279,9,-10.951,0,0.0312,0.0024,0.153,0.155,82.967,193373,3,1950
6Wnjq6JZ4ddkJapjiMti56,Delicado,Percy Faith,The Minute Samba,0.249,0.24,0.782,7,-9.663,1,0.0528,0.719,0.109,0.708,187.449,226326,4,1950
3rIhZKroSQQjNcgGQsdaJF,Auf Wiederseh'n Sweetheart - 2017 Version,Vera Lynn,Vera Lynn 100,0.846,0.149,0.137,8,-15.349,1,0.0326,1.96E-05,0.232,0.253,82.853,160347,3,1950
3xZe0jFAwc3akvChOrPS7u,You Belong To Me,Jo Stafford,The Magic Of Jo Stafford,0.945,0.371,0.145,5,-14.587,1,0.0315,0,0.112,0.167,68.722,192560,4,1950
4cS2Ya30FLHqNb3hwbtjrJ,I Went To Your Wedding,Patti Page,Golden Hits,0.927,0.53,0.0853,0,-12.223,1,0.0327,0,0.126,0.112,78.372,194373,3,1950
0ul5asAv5Tf1CdqxViFHh9,"It's In The Book (from ""Comedy Caravan"")",Various Artists,Comedy Caravan,0.943,0.525,0.376,5,-21.928,1,0.892,0,0.277,0.151,113.214,366000,4,1950
